#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:02:14      0   385     6    33    15     0     0
 12:02:15      0   381     6    32    15     0     0
 12:02:16      0   381     6    32    15     0     0
 12:02:17      0   381     6    32    15     0     0
 12:02:18      0   381     6    33    15     0     0
 12:02:20      0   381     6    32    15     0     0
 12:02:21      0   381     6    33    15     0     0
 12:02:22      0   381     6    32    15     0     0
 12:02:23      0   381     6    32    15     0     0
 12:02:24      0   381     6    33    15     0     0
 12:02:25      0   381     6    33    15     0     0
 12:02:26      0   381     6    32    15     0     0
 12:02:27      0   381     6    32    15     0     0
 12:02:28      0   381     6    32    15     0     0
 12:02:29      0   381     6    33    15     0     0
 12:02:30      0   381     6    32    15     0     0
 12:02:31      0   381     6    32    15     0     0
 12:02:32      0   381     6    33    15     0     0
 12:02:33      0   381     6    32    15     0     0
 12:02:34      0   381     6    33    15     0     0
 12:02:35      0   381     6    32    15     0     0
 12:02:36      0   381     6    32    15     0     0
 12:02:37      0   381     6    33    15     0     0
 12:02:38      0   381     6    32    15     0     0
 12:02:39      0   381     6    32    15     0     0
 12:02:40      0   381     6    33    15     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:02:41      0   381     6    32    15     0     0
 12:02:42      0   381     6    33    15     0     0
 12:02:43      0   381     6    33    15     0     0
 12:02:44      0   381     6    33    16     0     0
 12:02:45      0   381     6    32    15     0     0
 12:02:46      0   381     6    32    15     0     0
 12:02:47      0   385     6    33    16     0     0
 12:02:48      0   385     6    32    15     0     0
 12:02:49      0   385     6    33    16     0     0
 12:02:50      0   385     6    32    15     0     0
 12:02:51      0   385     6    32    15     0     0
 12:02:52      0   386     6    33    16     0     0
 12:02:53      0   387     6    36    17     0     0
 12:02:54      0   387     6    32    15     0     0
 12:02:55      0   450     6    32    15     0     0
 12:02:56      0   459     6    49    14     0     0
 12:02:57      0   459     6    23    11     0     0
 12:02:58      0   447     6    22    11     0     0
 12:02:59      0   447     6    30    13     0     0
 12:03:00      0   478     6    24    10     0     0
 12:03:01      0   490     6    29    13     0     0
 12:03:02      0   482     6    22    11     0     0
 12:03:03      0   482     6    33    14     0     0
 12:03:04      0   479     6    23    10     0     0
 12:03:05      0   475     6    22    10     0     0
 12:03:06      0   464     6    26    12     0     0
 12:03:07      0   455     6    26    12     0     0
 12:03:08      0   454     6    26    12     0     0
 12:03:09      0   446     6    26    12     0     0
 12:03:10      0   447     6    26    12     0     0
 12:03:11      0   447     6    25    12     0     0
 12:03:12      0   447     6    26    12     0     0
 12:03:13      0   447     6    25    12     0     0
 12:03:14      0   447     6    26    12     0     0
 12:03:15      0   445     6    25    12     0     0
 12:03:16      0   445     6    25    12     0     0
 12:03:17      0   445     6    25    12     0     0
 12:03:18      0   445     6    26    12     0     0
 12:03:19      0   445     6    26    12     0     0
 12:03:20      0   445     6    25    12     0     0
 12:03:21      0   445     6    25    12     0     0
 12:03:22      0   445     6    25    12     0     0
 12:03:23      0   445     6    25    12     0     0
 12:03:24      0   445     6    25    12     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:03:25      0   445     6    25    12     0     0
 12:03:26      0   445     6    25    12     0     0
 12:03:27      0   445     6    25    12     0     0
 12:03:28      0   445     6    25    12     0     0
 12:03:29      0   445     6    25    12     0     0
 12:03:30      0   445     6    25    12     0     0
 12:03:31      0   445     6    25    12     0     0
 12:03:32      0   445     6    25    12     0     0
 12:03:33      0   445     6    25    12     0     0
 12:03:34      0   445     6    25    12     0     0
 12:03:35      0   445     6    25    12     0     0
 12:03:36      0   445     6    25    12     0     0
 12:03:37      0   445     6    25    12     0     0
 12:03:38      0   445     6    26    12     0     0
 12:03:39      0   445     6    25    12     0     0
 12:03:40      0   445     6    25    12     0     0
 12:03:41      0   445     6    25    12     0     0
 12:03:42      0   445     6    25    12     0     0
 12:03:43      0   445     6    26    12     0     0
 12:03:44      0   445     6    25    12     0     0
 12:03:45      0   445     6    25    12     0     0
 12:03:46      0   445     6    25    12     0     0
 12:03:47      0   445     6    25    12     0     0
 12:03:48      0   445     6    26    12     0     0
 12:03:49      0   445     6    26    12     0     0
 12:03:50      0   445     6    26    13     0     0
 12:03:51      0   445     6    25    12     0     0
 12:03:52      0   445     6    26    12     0     0
 12:03:53      0   445     6    25    12     0     0
 12:03:54      0   445     6    26    12     0     0
 12:03:55      0   445     6    25    12     0     0
 12:03:56      0   445     6    25    12     0     0
 12:03:57      0   445     6    25    12     0     0
 12:03:58      0   445     6    25    12     0     0
 12:03:59      0   445     6    25    12     0     0
 12:04:00      0   445     6    25    12     0     0
 12:04:01      0   445     6    26    12     0     0
 12:04:02      0   445     6    26    12     0     0
 12:04:03      0   445     6    25    12     0     0
 12:04:04      0   445     6    25    12     0     0
 12:04:05      0   445     6    25    12     0     0
 12:04:06      0   445     6    25    12     0     0
 12:04:07      0   445     6    25    12     0     0
 12:04:08      0   445     6    25    12     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:04:09      0   445     6    25    12     0     0
 12:04:10      0   445     6    26    13     0     0
 12:04:11      0   445     6    25    12     0     0
 12:04:12      0   445     6    25    12     0     0
 12:04:13      0   445     6    26    12     0     0
 12:04:14      0   445     6    25    12     0     0
 12:04:15      0   445     6    26    13     0     0
 12:04:16      0   445     6    26    12     0     0
 12:04:17      0   445     6    25    12     0     0
 12:04:18      0   445     6    25    12     0     0
 12:04:19      0   445     6    26    12     0     0
 12:04:20      0   445     6    26    13     0     0
 12:04:21      0   445     6    26    13     0     0
 12:04:22      0   445     6    26    12     0     0
 12:04:23      0   445     6    26    13     0     0
 12:04:24      0   445     6    26    13     0     0
 12:04:25      0   445     6    26    13     0     0
 12:04:26      0   445     6    26    13     0     0
 12:04:27      0   445     6    26    12     0     0
 12:04:28      0   445     6    26    13     0     0
 12:04:29      0   445     6    26    13     0     0
 12:04:30      0   445     6    26    13     0     0
 12:04:31      0   445     6    26    12     0     0
 12:04:32      0   445     6    26    12     0     0
 12:04:33      0   445     6    26    13     0     0
 12:04:34      0   445     6    26    12     0     0
 12:04:35      0   445     6    26    12     0     0
 12:04:36      0   445     6    25    12     0     0
 12:04:37      0   445     6    26    13     0     0
 12:04:38      0   445     6    26    13     0     0
 12:04:39      0   445     6    26    13     0     0
 12:04:40      0   445     6    26    13     0     0
 12:04:41      0   445     6    26    12     0     0
 12:04:42      0   445     6    26    13     0     0
 12:04:43      0   445     6    27    13     0     0
 12:04:44      0   445     6    26    12     0     0
 12:04:45      0   445     6    26    13     0     0
 12:04:46      0   445     6    26    13     0     0
 12:04:47      0   445     6    26    13     0     0
 12:04:48      0   445     6    26    13     0     0
 12:04:49      0   445     6    26    13     0     0
 12:04:50      0   445     6    26    13     0     0
 12:04:51      0   445     6    26    13     0     0
 12:04:52      0   385     6    27    12     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:04:53      0   385     6    27    13     0     0
 12:04:54      0   385     6    26    13     0     0
 12:04:55      0   385     6    26    13     0     0
 12:04:56      0   385     6    26    13     0     0
 12:04:57      0   385     6    26    13     0     0
 12:04:58      0   385     6    26    12     0     0
 12:04:59      0   385     6    26    13     0     0
 12:05:00      0   385     6    26    13     0     0
 12:05:02      0   385     6    26    13     0     0
 12:05:03      0   408     6    37    17     0     0
 12:05:04      0   408     6    32    15     0     0
 12:05:05      0   408     6    22    10     0     0
 12:05:06      0   408     6    24    12     0     0
 12:05:07      0   409     6    25    13     0     0
 12:05:08      0   418     6    41    20     0     0
 12:05:09      0   418     6    23    10     0     0
 12:05:10      0   425     6    34    15     0     0
 12:05:11      0   426     6    24    13     0     0
 12:05:12      0   427     6    12     8     0     0
 12:05:13      0   427     6    28    14     0     0
 12:05:14      0   427     6    22    10     0     0
 12:05:15      0   423     6    33    14     0     0
 12:05:16      0   423     6    22    10     0     0
 12:05:17      0   423     6    32    14     0     0
 12:05:18      0   406     6    22    10     0     0
 12:05:19      0   405     6    29    13     0     0
 12:05:20      0   406     6    26    12     0     0
 12:05:21      0   406     6    24    11     0     0
 12:05:22      0   406     6    32    14     0     0
 12:05:23      0   406     6    23    10     0     0
 12:05:24      0   406     6    33    15     0     0
 12:05:25      0   424     6    23    10     0     0
 12:05:26      0   429     6    34    16     0     0
 12:05:27      0   432     6    23    11     0     0
 12:05:28      0   432     6    24    12     0     0
 12:05:29      0   433     6    31    15     0     0
 12:05:30      0   440     6    21    10     0     0
 12:05:31      0   443     6    30    13     0     0
 12:05:32      0   441     6    22    10     0     0
 12:05:33      0   437     6    33    14     0     0
 12:05:34      0   432     6    22    10     0     0
 12:05:35      0   429     6    33    15     0     0
 12:05:36      0   412     6    22    10     0     0
 12:05:37      0   397     6    33    15     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:05:38      0   396     6    22    10     0     0
 12:05:39      0   396     6    28    12     0     0
 12:05:40      0   396     6    26    12     0     0
 12:05:41      0   396     6    23    10     0     0
 12:05:42      0   396     6    31    15     0     0
 12:05:43      0   396     6    22    10     0     0
 12:05:44      0   396     6    33    14     0     0
 12:05:45      0   396     6    33    10     0     0
 12:05:46      0   396     6    22    10     0     0
 12:05:47      0   396     6    38    17     0     0
 12:05:48      0   396     6    22    10     0     0
 12:05:49      0   396     6    28    12     0     0
 12:05:50      0   396     6    26    12     0     0
 12:05:51      0   396     6    23    10     0     0
 12:05:52      0   396     6    31    15     0     0
 12:05:53      0   396     6    22    10     0     0
 12:05:54      0   396     6    33    14     0     0
 12:05:55      0   396     6    22    10     0     0
 12:05:56      0   396     6    33    14     0     0
 12:05:57      0   396     6    22    10     0     0
 12:05:58      0   396     6    33    14     0     0
 12:05:59      0   396     6    22    10     0     0
 12:06:00      0   396     6    30    13     0     0
 12:06:01      0   396     6    25    11     0     0
 12:06:02      0   396     6    23    10     0     0
 12:06:03      0   396     6    31    14     0     0
 12:06:04      0   396     6    22    10     0     0
 12:06:05      0   396     6    32    14     0     0
 12:06:06      0   396     6    22    10     0     0
 12:06:07      0   396     6    37    18     0     0
 12:06:08      0   386     6    22    10     0     0
 12:06:09      0   370     6    27    13     0     0
 12:06:10      0   355     6    31    14     0     0
 12:06:11      0   350     6    22    10     0     0
 12:06:12      0   350     6    37    17     0     0
 12:06:13      0   350     6    22    10     0     0
 12:06:14      0   349     6    32    15     0     0
 12:06:15      0   349     6    26    12     0     0
 12:06:16      0   349     6    23    10     0     0
 12:06:17      0   349     6    35    17     0     0
 12:06:18      0   349     6    22    10     0     0
 12:06:19      0   349     6    36    17     0     0
 12:06:20      0   349     6    22    10     0     0
 12:06:21      0   349     6    28    13     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:06:22      0   349     6    30    14     0     0
 12:06:23      0   349     6    22    10     0     0
 12:06:24      0   349     6    37    17     0     0
 12:06:25      0   349     6    22    10     0     0
 12:06:26      0   349     6    33    15     0     0
 12:06:27      0   349     6    26    12     0     0
 12:06:28      0   349     6    23    10     0     0
 12:06:29      0   349     6    36    17     0     0
 12:06:30      0   350     6    22    10     0     0
 12:06:31      0   350     6    37    17     0     0
 12:06:32      0   350     6    22    10     0     0
 12:06:33      0   350     6    28    13     0     0
 12:06:34      0   350     6    31    14     0     0
 12:06:35      0   350     6    22    10     0     0
 12:06:36      0   350     6    36    17     0     0
 12:06:37      0   350     6    22    10     0     0
 12:06:38      0   350     6    33    15     0     0
 12:06:39      0   350     6    26    12     0     0
 12:06:40      0   350     6    23    11     0     0
 12:06:41      0   350     6    35    16     0     0
 12:06:42      0   350     6    22    10     0     0
 12:06:43      0   350     6    36    17     0     0
 12:06:44      0   349     6    22    10     0     0
 12:06:45      0   349     6    29    13     0     0
 12:06:46      0   349     6    29    14     0     0
 12:06:47      0   349     6    22    10     0     0
 12:06:48      0   349     6    36    17     0     0
 12:06:49      0   349     6    22    10     0     0
 12:06:50      0   349     6    32    15     0     0
 12:06:51      0   349     6    26    12     0     0
 12:06:52      0   349     6    23    10     0     0
 12:06:53      0   349     6    39    18     0     0
 12:06:54      0   349     6    22    10     0     0
 12:06:55      0   349     6    32    15     0     0
 12:06:56      0   349     6    26    11     0     0
 12:06:57      0   349     6    23    10     0     0
 12:06:58      0   350     6    39    18     0     0
 12:06:59      0   350     6    22    10     0     0
 12:07:00      0   350     6    32    15     0     0
 12:07:01      0   350     6    31    14     0     0
 12:07:02      0   350     6    22    10     0     0
 12:07:03      0   350     6    40    19     0     0
 12:07:04      0   350     6    22    10     0     0
 12:07:05      0   350     6    27    12     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:07:06      0   351     6    34    16     0     0
 12:07:07      0   351     6    22    10     0     0
 12:07:08      0   351     6    37    17     0     0
 12:07:09      0   351     6    23    11     0     0
 12:07:10      0   351     6    29    13     0     0
 12:07:11      0   350     6    26    12     0     0
 12:07:12      0   350     6    23    10     0     0
 12:07:13      0   350     6    42    20     0     0
 12:07:14      0   350     6    22    10     0     0
 12:07:15      0   349     6    27    12     0     0
 12:07:16      0   349     6    34    15     0     0
 12:07:17      0   349     6    22    10     0     0
 12:07:18      0   349     6    36    16     0     0
 12:07:19      0   349     6    29    14     0     0
 12:07:20      0   371     6    24    10     0     0
 12:07:21      0   371     6     9     6     0     0
 12:07:22      0   362     6     0     3     0     0
 12:07:23      0   362     6    11     7     0     0
 12:07:24      0   362     6     4     5     0     0
 12:07:25      0   347     6     0     3     0     0
 12:07:26      0   347     6     1     3     0     0
 12:07:27      0   347     6     0     3     0     0
 12:07:28      0   347     6     0     3     0     0
 12:07:29      0   347     6     1     3     0     0
 12:07:30      0   347     6     0     3     0     0
 12:07:31      0   347     6     1     3     0     0
 12:07:32      0   347     6     0     3     0     0
 12:07:33      0   347     6     0     3     0     0
 12:07:35      0   347     6     0     3     0     0
 12:07:36      0   347     6     0     3     0     0
 12:07:37      0   347     6     0     3     0     0
 12:07:38      0   347     6     0     3     0     0
 12:07:39      0   347     6     0     3     0     0
 12:07:40      0   347     6     0     3     0     0
 12:07:41      0   347     6     0     3     0     0
 12:07:42      0   347     6     0     3     0     0
 12:07:43      0   347     6     0     3     0     0
 12:07:44      0   347     6     0     3     0     0
 12:07:45      0   347     6     0     3     0     0
 12:07:46      0   347     6     0     3     0     0
 12:07:47      0   347     6     0     3     0     0
 12:07:48      0   347     6     0     3     0     0
 12:07:49      0   347     6     0     3     0     0
 12:07:50      0   347     6     0     3     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:07:51      0   347     6     0     3     0     0
 12:07:52      0   347     6     0     3     0     0
 12:07:53      0   347     6     0     3     0     0
 12:07:54      0   347     6     0     3     0     0
 12:07:55      0   347     6     1     3     0     0
 12:07:56      0   347     6     0     3     0     0
 12:07:57      0   347     6     0     3     0     0
 12:07:58      0   347     6     0     3     0     0
 12:07:59      0   347     6     0     3     0     0
 12:08:00      0   347     6     1     3     0     0
 12:08:01      0   347     6     0     3     0     0
 12:08:02      0   347     6     0     3     0     0
 12:08:03      0   347     6     0     3     0     0
 12:08:04      0   347     6     0     3     0     0
 12:08:05      0   347     6     0     3     0     0
 12:08:06      0   347     6     0     3     0     0
 12:08:07      0   347     6     0     3     0     0
 12:08:08      0   347     6     0     3     0     0
 12:08:09      0   347     6     0     3     0     0
 12:08:10      0   347     6     0     3     0     0
 12:08:11      0   347     6     0     3     0     0
 12:08:12      0   347     6     0     3     0     0
 12:08:13      0   347     6     0     3     0     0
 12:08:14      0   347     6     0     3     0     0
 12:08:15      0   347     6     0     3     0     0
 12:08:16      0   347     6     0     3     0     0
 12:08:17      0   347     6     0     3     0     0
 12:08:18      0   347     6     0     3     0     0
 12:08:19      0   347     6     0     3     0     0
 12:08:20      0   347     6     0     3     0     0
 12:08:21      0   347     6     0     3     0     0
 12:08:22      0   347     6     0     3     0     0
 12:08:23      0   347     6     1     3     0     0
 12:08:24      0   347     6     0     3     0     0
 12:08:25      0   347     6     0     3     0     0
 12:08:26      0   347     6     0     3     0     0
 12:08:27      0   347     6     0     3     0     0
 12:08:28      0   347     6     1     3     0     0
 12:08:29      0   347     6     0     3     0     0
 12:08:30      0   347     6     0     3     0     0
 12:08:31      0   347     6     0     3     0     0
 12:08:32      0   347     6     0     3     0     0
 12:08:33      0   347     6     0     3     0     0
 12:08:34      0   347     6     0     3     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 12:08:35      0   347     6     0     3     0     0
 12:08:36      0   347     6     0     3     0     0
 12:08:37      0   347     6     0     3     0     0
 12:08:38      0   347     6     0     3     0     0
 12:08:39      0   347     6     0     3     0     0
 12:08:40      0   347     6     0     3     0     0
 12:08:41      0   347     6     0     3     0     0
 12:08:42      0   347     6     0     3     0     0
 12:08:43      0   347     6     0     3     0     0
 12:08:44      0   347     6     0     3     0     0
 12:08:45      0   347     6     0     3     0     0
 12:08:46      0   347     6     0     3     0     0
 12:08:47      0   347     6     0     3     0     0
 12:08:48      0   347     6     0     3     0     0
 12:08:49      0   347     6     0     3     0     0
 12:08:50      0   347     6     0     3     0     0
 12:08:51      0   347     6     1     3     0     0
 12:08:52      0   347     6     0     3     0     0
 12:08:53      0   347     6     0     3     0     0
 12:08:54      0   347     6     0     3     0     0
 12:08:55      0   347     6     0     3     0     0
 12:08:56      0   347     6     1     3     0     0
 12:08:57      0   347     6     0     3     0     0
 12:08:58      0   347     6     0     3     0     0
 12:08:59      0   347     6     0     3     0     0
 12:09:00      0   347     6     0     3     0     0
