#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:54:36      0  1960     6     1     3     0     0
 11:54:37      0  1960     6     2     4     0     0
 11:54:38      0  1961     6     4     4     0     0
 11:54:39      0  1961     6     2     3     0     0
 11:54:40      0  1961     6     2     4     0     0
 11:54:41      0  1961     6     3     4     0     0
 11:54:42      0  1961     6     2     4     0     0
 11:54:43      0  1960     6     2     4     0     0
 11:54:44      0  1960     6     3     4     0     0
 11:54:45      0  1960     6     2     4     0     0
 11:54:46      0  1960     6     1     3     0     0
 11:54:47      0  1960     6     3     4     0     0
 11:54:48      0  1961     6     4     4     0     0
 11:54:49      0  1961     6     1     3     0     0
 11:54:50      0  1961     6     3     4     0     0
 11:54:51      0  1961     6     2     4     0     0
 11:54:52      0  1950     6     3     3     0     0
 11:54:53      0  1949     6     2     4     0     0
 11:54:54      0  1949     6     3     4     0     0
 11:54:55      0  1949     6     1     3     0     0
 11:54:56      0  1949     6     2     4     0     0
 11:54:57      0  1949     6     3     4     0     0
 11:54:58      0  1950     6     2     4     0     0
 11:54:59      0  1950     6     2     4     0     0
 11:55:00      0  1950     6     3     4     0     0
 11:55:01      0  1950     6     1     3     0     0
 11:55:02      0  1950     6     3     4     0     0
 11:55:03      0  1949     6     3     4     0     0
 11:55:04      0  1949     6     1     3     0     0
 11:55:05      0  1949     6     2     4     0     0
 11:55:06      0  1949     6     2     4     0     0
 11:55:07      0  1949     6     1     3     0     0
 11:55:08      0  1950     6     4     4     0     0
 11:55:09      0  1950     6     3     4     0     0
 11:55:10      0  1950     6     1     3     0     0
 11:55:12      0  1950     6     2     4     0     0
 11:55:13      0  1950     6     2     4     0     0
 11:55:14      0  1949     6     1     3     0     0
 11:55:15      0  1949     6     3     4     0     0
 11:55:16      0  1949     6     3     4     0     0
 11:55:17      0  1949     6     1     3     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:55:18      0  1949     6     2     4     0     0
 11:55:19      0  1950     6     4     4     0     0
 11:55:20      0  1950     6     1     3     0     0
 11:55:21      0  1950     6     3     4     0     0
 11:55:22      0  1950     6     3     4     0     0
 11:55:23      0  1950     6     1     3     0     0
 11:55:24      0  1949     6     3     4     0     0
 11:55:25      0  1949     6     3     4     0     0
 11:55:26      0  1949     6     1     3     0     0
